candidate_id,name,party,city,1270,1275,1277,1278,1279,1280,1281,1285,1287,1288,1289,1290,1292,1293,1294,1295,1298,1299,1300,1301,1304,1305,1306,1307,1308
31,Jacob Skjærris,Det Konservative Folkeparti,Malling,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0
33,Jannie Boysen Westergaard,Det Konservative Folkeparti,Haderslev,2.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,5.0,4.0,1.0,4.0,4.0
34,Jens Langer Schou,Det Konservative Folkeparti,Fredericia ,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0
35,Jette Larsen,Det Konservative Folkeparti,Rødovre,2.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0
36,Joachim Hoffmann-Petersen,Det Konservative Folkeparti,Odense,2.0,1.0,5.0,4.0,5.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,2.0,1.0,1.0,5.0
37,Johan Emil Sevelsted,Det Konservative Folkeparti,Svendborg,1.0,2.0,5.0,5.0,2.0,5.0,2.0,1.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0
38,John Hoppe,Det Konservative Folkeparti,Odense,2.0,2.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,1.0,4.0,4.0
40,Klavs Norup Lauridsen,Det Konservative Folkeparti,Munkebo,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0
41,Kristian Thomsen,Det Konservative Folkeparti,Varde,1.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0
43,Laura Holm,Det Konservative Folkeparti,Norup ,2.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0
44,Lene Burchardt,Det Konservative Folkeparti,Aalborg s.ø.,2.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0
45,Lennart Qvist,Det Konservative Folkeparti,Ringkøbing,2.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0
46,Line Ervolder,Det Konservative Folkeparti,København ,2.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0
